China	34,028,000	23.9

United States	23,761,000	70.2

Brazil	13,944,000	64.8

Mexico	10,072,000	79

Russia	8,348,000	57.7

Germany	7,938,000	95.2

Spain	4,184,000	88

United Kingdom	4,132,000	61.2

Vietnam	3,811,000	38.8

Poland	3,501,000	87.8

South Africa	3,313,000	55.3

France	2,583,000	40

Colombia	2,568,000	49.5

India	2,520,000	1.78

Australia	2,303,000	88

Canada	2,191,000	57

Italy	2,161,000	36.6

Thailand	2,136,000	29.8

Argentina	1,919,000	42.2

Nigeria	1,814,000	8.3

South Korea	1,696,000	32.7

Philippines	1,628,000	14.1

Romania	1,600,000	81.4

Japan	1,539,000	12.4

Peru	1,522,000	44.7

Ethiopia	1,499,000	12.2

Czech Republic	1,467,000	140

Chile	1,354,000	69.1

Cambodia	1,309,000	78.1

Ukraine	1,239,000	31.2

Angola	1,188,000	33.4

Belgium	983,000	84.3

Austria	947,000	106

Turkey	889,000	10.4

Netherlands	841,000	47.9

Taiwan	757,000	31.7

Ecuador	708,000	39.4

Hungary	688,000	69

Kazakhstan	680,000	35.1

Dominican Republic	646,000	57.5

Portugal	631,000	61.4

Tanzania	523,000	7.99

Bulgaria	522,000	76.9

Sweden	521,000	49.4

DR Congo	500,000	5.05

Paraguay	478,000	70.5

Belarus	473,000	49.6

Venezuela	472,000	16.7

Switzerland	467,000	53.4

Serbia	465,000	64.4

Kenya	415,000	7.69

Slovakia	414,000	73.4

Ireland	402,000	80

Denmark	399,000	67.8

Uzbekistan	396,000	11.4

Botswana	396,000	150

Mozambique	393,000	11.9

Bolivia	387,000	31.6

Finland	379,000	68.4

Greece	354,000	34.1

Norway	352,000	64.8

Uganda	345,000	7.3

Guatemala	343,000	19.2

Panama	343,000	77.7

Croatia	339,000	84.2

Ivory Coast	334,000	11.9

Republic of the Congo	334,000	55.9

New Zealand	329,000	63.5

Indonesia	323,000	1.17

Ghana	318,000	9.51

Honduras	295,000	28.3

Lithuania	294,000	107

Zambia	271,000	13.6

Burkina Faso	244,000	10.8

Israel	244,000	27

Burundi	234,000	18.2

Bosnia and Herzegovina	232,000	71.9

Rwanda	227,000	16.5

Zimbabwe	222,000	13.6

Tunisia	202,000	16.3

Nepal	189,000	6.17

Gabon	187,000	78.3

Costa Rica	177,000	34.1

Slovenia	176,000	83.2

Algeria	174,000	3.87

Malaysia	167,000	4.91

Hong Kong	153,000	20.5

Uruguay	150,000	43.8

Myanmar	145,000	2.68

Madagascar	145,000	4.91

Cuba	144,000	12.9

Latvia	143,000	77.4

El Salvador	141,000	22.3

Benin	139,000	10.4

Mongolia	131,000	38.5

Sri Lanka	117,000	5.36

Georgia	115,000	30.8

Malawi	107,000	5.26

Albania	105,000	36.8

Moldova	104,000	37.6

Morocco	101,000	2.71

Estonia	92,000	69.3

Iran	90,000	1.02

Togo	90,000	10.2

Nicaragua	90,000	12.9

Namibia	89,000	34.7

Egypt	88,000	0.79

Chad	85,000	4.78

Iraq	79,000	2.08

Lesotho	70,000	30.3

Papua New Guinea	69,000	6.84

Laos	55,000	7.36

United Arab Emirates	53,000	5.64

Trinidad and Tobago	53,000	34.3

Azerbaijan	51,000	4.94

North Macedonia	51,000	24.5

Luxembourg	50,000	76.5

Montenegro	45,000	72.1

Kyrgyzstan	44,000	6.56

Lebanon	39,000	7.08

Cyprus	39,000	31

Tajikistan	38,000	3.78

Guyana	37,000	45.1

Mauritius	36,000	27.7

Eswatini	36,000	29.9

Guinea	34,000	2.46

Central African Republic	33,000	5.93

Armenia	33,000	11.7

Senegal	32,000	1.84

Bahrain	27,000	18.4

Bhutan	26,000	32.6

Iceland	25,000	66

Mali	24,000	1.07

Haiti	24,000	2.07

Suriname	23,000	36.4

Malta	23,000	42.8

Belize	23,000	56.3

South Sudan	20,000	1.85

Sierra Leone	19,000	2.17

Liberia	19,000	3.53

Jamaica	19,000	6.55

Guinea Bissau	19,000	8.95

Oman	18,000	3.87

Qatar	17,000	6.3

Jordan	15,000	1.31

Fiji	15,000	15.7

French Polynesia	14,000	46.1

New Caledonia	13,000	43.9

Macau	11,000	16.4

Cape Verde	10,000	17.2

Pakistan	8,000	0.03

Niger	8,000	0.29

Barbados	8,000	27.2

Saint Lucia	8,000	44.6

Seychelles	8,000	74.3

Timor Leste	6,000	4.17

Solomon Islands	6,000	8.97

Syria	5,000	0.21

Samoa	4,000	17.9

Sudan	3,000	0.07

Maldives	3,000	6.37

Bahamas	3,000	8.42

Grenada	3,000	26.5

Saint Vincent and the Grenadines	3,000	30.2

Dominica	3,000	43

Cameroon	2,000	0.06

Turkmenistan	2,000	0.25

Sao Tome and Principe	2,000	9.39

Antigua and Barbuda	2,000	25.6

Bangladesh	1,000	

Djibouti	1,000	1.29

Comoros	1,000	0.69

Kiribati	1,000	5.07

Micronesia	1,000	10.5

Saint Kitts and Nevis	1,000	20.6

Somalia		0.01

Libya		0.01

Kuwait		0.05

Gambia		0.16

Vanuatu		0.89

Marshall Islands		14.1

Nauru		0.79
