Country,Brand
Algeria,TANGO
Argentina,Cerveza Quilmes
Aruba,BALASHI
Australia,VICTORIA BITTER
Austria,Stiegl
Azerbaijan,Xirdalan
Bahamas,KALIK
Barbados,Banks
Belarus,KpliHiUa
Belgium,Jupiler
Belize,BELIKIN BEER
Benin,La Beninoise
Bolivia,PACENA
Bosnia and Herzegovina,Jelen
Brazil,SKOL
Bulgaria,Kamenitza
Cambodia,Angkor Beer
Cameroon,Castel Beer
Canada,Budweiser
Cape Verde,STRELA
Chile,CRISTAL
China,SNOW BEER
Colombia,POKER
Costa Rica,Cerveza Imperial
Croatia,Ozujsko Pivo
Czech Republic,Gambrinus
Denmark,TUBORG BEER
Dominica,Kubuli
Dominican Republic,Presidente
Ecuador,Pilsener
Egypt,Stella/Sakara
El Salvador,Pilsener
Ethiopia,St. George Beer
Finland,Olvi beer
France,Kronenbourg 1664
Germany,Erdinger 
Ghana,Club Premium Lager
Greece,Mythos
Guatemala,Gallo
Haiti,Prestige
Honduras,Salva Vida
Hong Kong,San Miguel
Hungary,BORSODI
Iceland,VIKING
India,KINGFISHER
Indonesia,BINTANG
Iran,LIGHT DELSTER
Ireland,GUINNESS DRAUGHT
Israel,Goldstar
Italy,Birra Moretti
Ivory Coast,SOLIBRA
Jamaica,Red Stripe
Japan,Asahi Super Dry
Kenya,KENYA BREWERIES - TUSKER LAGER
Kyrgyzstan,Karagandinskoye
Laos,Beerlao
Latvia,Aldaris
Lithuania,SVYTURYS
Macedonia,SKOPSKO
Madagascar,THB - Three Horses Beer
Malaysia,Tiger Beer
Maldives,LION LAGER
Mauritius,Phoenix Beer
Mexico,Corona Extra
Morocco,Spéciale Flag
Mozambique,Laurentina Clara
Myanmar,Myanmar Beer
Namibia,Windhock LAGER
Nepal,TUBORG BEER
Netherlands,Heineken
New Zealand,LION RED BEER
Nicaragua,Tona
Nigeria,STAR
North Korea,Taedonggang
Norway,Ringnes
Pakistan,MURREE BREWERY
Paraguay,BRAHMA chopp
Peru,CERVEZA CRISTAL
Philippines,RED HORSE BEER
Poland,TYSKIE
Portugal,SAGRES CERVEJA
Russia,BAJITHKA
Saudi Arabia,MOUSSY
Serbia,Jelen
Singapore,Tiger Beer
Slovakia,Zlaty Bazant
Slovenia,LASKO
South Africa,CARLING Black Label BEER
South Korea,Cass
Spain,Cruzcampo
Sri Lanka,LION LAGER
Sweden,Pripps Bryggerier Blå
Switzerland,FELDSCHLOSSCHEN
Taiwan,TAIWAN BEER
Thailand,Chang BEER SINGHA
Trinidad and Tobago,Carib Lager
Tunisia,Deltia
Turkey,EFES
Ukraine,YePHiriBcbKe
United Kingdom,CARLING
United States,Bud Light
Uruguay,PILSEN
Venezuela,POLAR
Vietnam,Saigon Special 333
Zimbabwe,MOSI LAGER
