Country,Happiness Score,Beer Consumption,Beer Price,Beer Brand,money_spent_per_capita
Denmark,7.64,67.8,7.37,TUBORG BEER,999.372
Iceland,7.56,66.0,10.41,VIKING,1374.12
Sweden,7.38,49.4,6.92,Pripps Bryggerier Blå,683.696
Israel,7.36,27.0,8.08,Goldstar,436.32
Netherlands,7.42,47.9,6.0,Heineken,574.8
Norway,7.37,64.8,9.67,Ringnes,1253.232
Switzerland,7.51,53.4,7.34,FELDSCHLOSSCHEN,783.9119999999999
Australia,7.16,88.0,5.86,VICTORIA BITTER,1031.36
New Zealand,7.2,63.5,5.87,LION RED BEER,745.49
Costa Rica,6.58,34.1,2.78,Cerveza Imperial,189.596
Austria,7.16,106.0,4.9,Stiegl,1038.8000000000002
Canada,7.03,57.0,5.2,Budweiser,592.8000000000001
Belgium,6.8,84.3,4.5,Jupiler,758.6999999999999
Ireland,7.04,80.0,6.0,GUINNESS DRAUGHT,960.0
Czechia,6.92,140.0,2.01,Gambrinus,562.8
Lithuania,6.45,107.0,4.8,SVYTURYS,1027.2
United Kingdom of Great Britain and Northern Ireland,6.94,61.2,5.98,CARLING,731.9520000000001
Slovenia,6.63,83.2,3.0,LASKO,499.2000000000001
United States of America,6.98,70.2,5.56,Bud Light,780.624
Germany,7.03,95.2,4.5,Erdinger,856.8000000000001
Mexico,6.13,79.0,2.07,Corona Extra,327.06
Uruguay,6.47,43.8,3.32,PILSEN,290.832
France,6.69,40.0,6.0,Kronenbourg 1664,480.0
Taipei and environs,6.51,31.7,1.68,TAIWAN BEER,106.512
El Salvador,6.12,22.3,1.85,Pilsener,82.51
Poland,6.12,87.8,3.36,TYSKIE,590.016
Spain,6.48,88.0,3.0,Cruzcampo,528.0
Serbia,6.18,64.4,2.56,Jelen,329.728
Chile,6.17,69.1,3.02,CRISTAL,417.364
Italy,6.47,36.6,5.0,Birra Moretti,366.0
Guatemala,6.26,19.2,3.0,Gallo,115.2
Nicaragua,6.17,12.9,1.26,Tona,32.508
Brazil,6.29,64.8,1.62,SKOL,209.952
Slovakia,6.39,73.4,2.0,Zlaty Bazant,293.6
Latvia,6.18,77.4,4.5,Aldaris,696.6
Argentina,5.97,42.2,2.32,Cerveza Quilmes,195.808
Japan,6.04,12.4,3.09,Asahi Super Dry,76.632
"Korea, South",5.93,32.7,3.16,Cass,206.664
Philippines,5.9,14.1,1.2,RED HORSE BEER,33.84
Vietnam,5.49,38.8,0.9,"Saigon Special,333",69.84
Portugal,6.02,61.4,2.5,SAGRES CERVEJA,307.0
Hungary,6.09,69.0,2.0,BORSODI,276.0
Paraguay,5.58,70.5,1.16,BRAHMA chopp,163.56
Thailand,5.89,29.8,1.91,"Chang BEER, SINGHA",113.836
Malaysia,5.71,4.91,3.14,Tiger Beer,30.8348
Croatia,6.13,84.2,3.5,Ozujsko Pivo,589.4
Greece,5.95,34.1,5.0,Mythos,341.0
Jamaica,5.85,6.55,2.36,Red Stripe,30.916
Peru,5.56,44.7,2.03,CERVEZA CRISTAL,181.482
Dominican Republic,5.74,57.5,2.19,Presidente,251.85
Mauritius,6.07,27.7,2.03,Phoenix Beer,112.462
Russian Federation,5.46,57.7,1.65,BAJITHKA,190.41
Bolivia,5.6,31.6,1.61,PACENA,101.752
Ecuador,5.55,39.4,1.85,Pilsener,145.78
Colombia,5.78,49.5,1.12,POKER,110.88
Venezuela,4.92,16.7,1.39,POLAR,46.426
Indonesia,5.24,1.17,2.23,BINTANG,5.2182
Bulgaria,5.37,76.9,2.04,Kamenitza,313.752
South Africa,5.19,55.3,2.03,CARLING Black Label BEER,224.518
Algeria,5.12,3.87,1.35,TANGO,10.449000000000002
Mozambique,5.05,11.9,1.01,Laurentina Clara,24.038
Nepal,5.38,6.17,2.16,TUBORG BEER,26.654400000000003
Côte d'Ivoire,5.24,11.9,0.91,SOLIBRA,21.658
Turkey,4.74,10.4,2.92,EFES,60.736
Iran,4.89,1.02,0.63,LIGHT DELSTER,1.2852
Azerbaijan,5.17,4.94,1.36,Xirdalan,13.436800000000002
Nigeria,4.55,8.3,0.81,STAR,13.446000000000002
Cameroon,5.05,0.06,0.99,Castel Beer,0.1187999999999999
Ukraine,5.08,31.2,0.91,YePHiriBcbKe,56.784
Namibia,4.46,34.7,1.27,Windhock LAGER,88.138
Morocco,5.06,2.71,2.9,Spéciale Flag,15.718
Pakistan,4.52,0.03,1.65,MURREE BREWERY,0.0989999999999999
Kenya,4.54,7.69,2.15,KENYA BREWERIES - TUSKER LAGER,33.067
Tunisia,4.52,16.3,1.49,Deltia,48.574000000000005
Ghana,4.87,9.51,1.2,Club Premium Lager,22.824
India,3.78,1.78,1.84,KINGFISHER,6.550400000000001
Egypt,4.29,0.79,1.28,Stella/Sakara,2.0224
Ceylon,4.36,5.36,2.18,LION LAGER,23.3696
Ethiopia,4.24,12.2,0.93,St. George Beer,22.692
Zimbabwe,3.0,13.6,1.39,MOSI LAGER,37.808
