Country,Happiness Score,Beer Consumption,Beer Price,Beer Brand
Denmark,7.64,67.8,7.37,TUBORG BEER
Iceland,7.56,66.0,10.41,VIKING
Sweden,7.38,49.4,6.92,Pripps Bryggerier Blå
Israel,7.36,27.0,8.08,Goldstar
Netherlands,7.42,47.9,6.0,Heineken
Norway,7.37,64.8,9.67,Ringnes
Luxembourg,7.4,76.5,5.0,
Switzerland,7.51,53.4,7.34,FELDSCHLOSSCHEN
Australia,7.16,88.0,5.86,VICTORIA BITTER
New Zealand,7.2,63.5,5.87,LION RED BEER
Costa Rica,6.58,34.1,2.78,Cerveza Imperial
Kuwait,6.11,0.05,2.7,
Austria,7.16,106.0,4.9,Stiegl
Canada,7.03,57.0,5.2,Budweiser
Belgium,6.8,84.3,4.5,Jupiler
Ireland,7.04,80.0,6.0,GUINNESS DRAUGHT
Czech Republic,6.92,140.0,2.01,Gambrinus
Lithuania,6.45,107.0,4.8,SVYTURYS
United Kingdom,6.94,61.2,5.98,CARLING
Slovenia,6.63,83.2,3.0,LASKO
United Arab Emirates,6.58,5.64,10.09,
United States,6.98,70.2,5.56,Bud Light
Germany,7.03,95.2,4.5,Erdinger
Mexico,6.13,79.0,2.07,Corona Extra
Uruguay,6.47,43.8,3.32,PILSEN
France,6.69,40.0,6.0,Kronenbourg 1664
Saudi Arabia,6.52,,1.73,MOUSSY
Singapore,6.48,,6.93,Tiger Beer
Taiwan,6.51,31.7,1.68,TAIWAN BEER
Romania,6.48,81.4,2.41,
El Salvador,6.12,22.3,1.85,Pilsener
Estonia,6.34,69.3,5.0,
Poland,6.12,87.8,3.36,TYSKIE
Spain,6.48,88.0,3.0,Cruzcampo
Serbia,6.18,64.4,2.56,Jelen
Chile,6.17,69.1,3.02,CRISTAL
Panama,6.31,77.7,1.85,
Malta,6.45,42.8,3.5,
Italy,6.47,36.6,5.0,Birra Moretti
Guatemala,6.26,19.2,3.0,Gallo
Nicaragua,6.17,12.9,1.26,Tona
Brazil,6.29,64.8,1.62,SKOL
Slovakia,6.39,73.4,2.0,Zlaty Bazant
Latvia,6.18,77.4,4.5,Aldaris
Uzbekistan,6.06,11.4,1.07,
Argentina,5.97,42.2,2.32,Cerveza Quilmes
Kazakhstan,6.23,35.1,1.1,
Cyprus,6.22,31.0,3.5,
Japan,6.04,12.4,3.09,Asahi Super Dry
South Korea,5.93,32.7,3.16,Cass
Philippines,5.9,14.1,1.2,RED HORSE BEER
Vietnam,5.49,38.8,0.9,"Saigon Special,333"
Portugal,6.02,61.4,2.5,SAGRES CERVEJA
Hungary,6.09,69.0,2.0,BORSODI
Paraguay,5.58,70.5,1.16,BRAHMA chopp
Thailand,5.89,29.8,1.91,"Chang BEER, SINGHA"
Malaysia,5.71,4.91,3.14,Tiger Beer
China,5.58,,0.89,SNOW BEER
Honduras,6.02,28.3,,Salva Vida
Bahrain,6.65,18.4,7.41,
Croatia,6.13,84.2,3.5,Ozujsko Pivo
Greece,5.95,34.1,5.0,Mythos
Bosnia and Herzegovina,5.77,71.9,,Jelen
Libya,5.33,0.01,0.57,
Jamaica,5.85,6.55,2.36,Red Stripe
Peru,5.56,44.7,2.03,CERVEZA CRISTAL
Dominican Republic,5.74,57.5,2.19,Presidente
Mauritius,6.07,27.7,2.03,Phoenix Beer
Moldova,5.86,37.6,1.54,
Russia,5.46,57.7,1.65,BAJITHKA
Bolivia,5.6,31.6,1.61,PACENA
Ecuador,5.55,39.4,1.85,Pilsener
Montenegro,5.55,72.1,2.5,
Mongolia,5.76,38.5,1.64,
Colombia,5.78,49.5,1.12,POKER
Venezuela,4.92,16.7,1.39,POLAR
Indonesia,5.24,1.17,2.23,BINTANG
Bulgaria,5.37,76.9,2.04,Kamenitza
Armenia,5.4,11.7,1.65,
South Africa,5.19,55.3,2.03,CARLING Black Label BEER
North Macedonia,5.2,24.5,1.95,
Algeria,5.12,3.87,1.35,TANGO
Hong Kong,5.42,20.5,,San Miguel
Albania,5.2,36.8,2.53,
Tajikistan,5.38,3.78,0.89,
Republic of the Congo,5.08,55.9,,
Mozambique,5.05,11.9,1.01,Laurentina Clara
Georgia,4.97,30.8,1.59,
Iraq,4.94,2.08,1.85,
Nepal,5.38,6.17,2.16,TUBORG BEER
Laos,5.14,7.36,,Beerlao
Gabon,4.96,78.3,,
Ivory Coast,5.24,11.9,0.91,SOLIBRA
Guinea,4.89,2.46,,
Turkey,4.74,10.4,2.92,EFES
Senegal,5.05,1.84,,
Iran,4.89,1.02,0.63,LIGHT DELSTER
Azerbaijan,5.17,4.94,1.36,Xirdalan
Nigeria,4.55,8.3,0.81,STAR
Palestine,4.48,,3.79,
