China,23.9
United States,70.2
Brazil,64.8
Mexico,79.0
Russia,57.7
Germany,95.2
Spain,88.0
United Kingdom,61.2
Vietnam,38.8
Poland,87.8
South Africa,55.3
France,40.0
Colombia,49.5
India,1.78
Australia,88.0
Canada,57.0
Italy,36.6
Thailand,29.8
Argentina,42.2
Nigeria,8.3
South Korea,32.7
Philippines,14.1
Romania,81.4
Japan,12.4
Peru,44.7
Ethiopia,12.2
Czech Republic,140.0
Chile,69.1
Cambodia,78.1
Ukraine,31.2
Angola,33.4
Belgium,84.3
Austria,106.0
Turkey,10.4
Netherlands,47.9
Taiwan,31.7
Ecuador,39.4
Hungary,69.0
Kazakhstan,35.1
Dominican Republic,57.5
Portugal,61.4
Tanzania,7.99
Bulgaria,76.9
Sweden,49.4
DR Congo,5.05
Paraguay,70.5
Belarus,49.6
Venezuela,16.7
Switzerland,53.4
Serbia,64.4
Kenya,7.69
Slovakia,73.4
Ireland,80.0
Denmark,67.8
Uzbekistan,11.4
Botswana,150.0
Mozambique,11.9
Bolivia,31.6
Finland,68.4
Greece,34.1
Norway,64.8
Uganda,7.3
Guatemala,19.2
Panama,77.7
Croatia,84.2
Ivory Coast,11.9
Republic of the Congo,55.9
New Zealand,63.5
Indonesia,1.17
Ghana,9.51
Honduras,28.3
Lithuania,107.0
Zambia,13.6
Burkina Faso,10.8
Israel,27.0
Burundi,18.2
Bosnia and Herzegovina,71.9
Rwanda,16.5
Zimbabwe,13.6
Tunisia,16.3
Nepal,6.17
Gabon,78.3
Costa Rica,34.1
Slovenia,83.2
Algeria,3.87
Malaysia,4.91
Hong Kong,20.5
Uruguay,43.8
Myanmar,2.68
Madagascar,4.91
Cuba,12.9
Latvia,77.4
El Salvador,22.3
Benin,10.4
Mongolia,38.5
Sri Lanka,5.36
Georgia,30.8
Malawi,5.26
Albania,36.8
Moldova,37.6
Morocco,2.71
Estonia,69.3
Iran,1.02
Togo,10.2
Nicaragua,12.9
Namibia,34.7
Egypt,0.79
Chad,4.78
Iraq,2.08
Lesotho,30.3
Papua New Guinea,6.84
Laos,7.36
United Arab Emirates,5.64
Trinidad and Tobago,34.3
Azerbaijan,4.94
North Macedonia,24.5
Luxembourg,76.5
Montenegro,72.1
Kyrgyzstan,6.56
Lebanon,7.08
Cyprus,31.0
Tajikistan,3.78
Guyana,45.1
Mauritius,27.7
Eswatini,29.9
Guinea,2.46
Central African Republic,5.93
Armenia,11.7
Senegal,1.84
Bahrain,18.4
Bhutan,32.6
Iceland,66.0
Mali,1.07
Haiti,2.07
Suriname,36.4
Malta,42.8
Belize,56.3
South Sudan,1.85
Sierra Leone,2.17
Liberia,3.53
Jamaica,6.55
Guinea Bissau,8.95
Oman,3.87
Qatar,6.3
Jordan,1.31
Fiji,15.7
French Polynesia,46.1
New Caledonia,43.9
Macau,16.4
Cape Verde,17.2
Pakistan,0.03
Niger,0.29
Barbados,27.2
Saint Lucia,44.6
Seychelles,74.3
Timor Leste,4.17
Solomon Islands,8.97
Syria,0.21
Samoa,17.9
Sudan,0.07
Maldives,6.37
Bahamas,8.42
Grenada,26.5
Saint Vincent and the Grenadines,30.2
Dominica,43.0
Cameroon,0.06
Turkmenistan,0.25
Sao Tome and Principe,9.39
Antigua and Barbuda,25.6
Bangladesh,
Djibouti,1.29
Comoros,0.69
Kiribati,5.07
Micronesia,10.5
Saint Kitts and Nevis,20.6
Somalia,0.01
Libya,0.01
Kuwait,0.05
Gambia,0.16
Vanuatu,0.89
Marshall Islands,14.1
Nauru,0.79
