Qatar,Unnamed: 2,11.41 €
Oman,,10.83 €
Iceland,,10.41 €
United Arab Emirates,,10.09 €
Norway,,9.67 €
Israel,,8.08 €
Bahrain,,7.41 €
Denmark,,7.37 €
Switzerland,,7.34 €
Hong Kong (China),,7.15 €
Finland,,7.00 €
Singapore,,6.93 €
Sweden,,6.92 €
Netherlands,,6.00 €
Ireland,,6.00 €
France,,6.00 €
United Kingdom,,5.98 €
New Zealand,,5.87 €
Australia,,5.86 €
United States,,5.56 €
Macao (China),,5.38 €
Jordan,,5.23 €
Canada,,5.20 €
Luxembourg,,5.00 €
Italy,,5.00 €
Greece,,5.00 €
Estonia,,5.00 €
Austria,,4.90 €
Lithuania,,4.80 €
Latvia,,4.50 €
Germany,,4.50 €
Belgium,,4.50 €
Bangladesh,,3.80 €
Palestine,,3.79 €
Malta,,3.50 €
Cyprus,,3.50 €
Croatia,,3.50 €
Poland,,3.36 €
Uruguay,,3.32 €
South Korea,,3.16 €
Malaysia,,3.14 €
Japan,,3.09 €
Chile,,3.02 €
Spain,,3.00 €
Slovenia,,3.00 €
Guatemala,,3.00 €
Turkey,,2.92 €
Morocco,,2.90 €
Costa Rica,,2.78 €
Lebanon,,2.78 €
Kuwait,,2.70 €
Papua New Guinea,,2.69 €
Serbia,,2.56 €
Albania,,2.53 €
Fiji,,2.52 €
Portugal,,2.50 €
Montenegro,,2.50 €
Romania,,2.41 €
Jamaica,,2.36 €
Puerto Rico,,2.32 €
Barbados,,2.32 €
Argentina,,2.32 €
Indonesia,,2.23 €
Dominican Republic,,2.19 €
Sri Lanka,,2.18 €
Nepal,,2.16 €
Kenya,,2.15 €
Mexico,,2.07 €
Bosnia And Herzegovina,,2.04 €
Bulgaria,,2.04 €
Botswana,,2.03 €
South Africa,,2.03 €
Peru,,2.03 €
Mauritius,,2.03 €
Czech Republic,,2.01 €
Slovakia,,2.00 €
Kosovo (Disputed Territory),,2.00 €
Hungary,,2.00 €
Guyana,,1.98 €
North Macedonia,,1.95 €
Thailand,,1.91 €
Panama,,1.85 €
El Salvador,,1.85 €
Ecuador,,1.85 €
Cuba,,1.85 €
Iraq,,1.85 €
India,,1.84 €
Saudi Arabia,,1.73 €
Taiwan,,1.68 €
Armenia,,1.65 €
Pakistan,,1.65 €
Russia,,1.65 €
Mongolia,,1.64 €
Trinidad And Tobago,,1.63 €
Brazil,,1.62 €
Bolivia,,1.61 €
Georgia,,1.59 €
Moldova,,1.54 €
Tunisia,,1.49 €
Zimbabwe,,1.39 €
Venezuela,,1.39 €
Syria,,1.39 €
Azerbaijan,,1.36 €
Algeria,,1.35 €
Egypt,,1.28 €
Namibia,,1.27 €
Uganda,,1.26 €
Nicaragua,,1.26 €
Philippines,,1.20 €
Ghana,,1.20 €
Paraguay,,1.16 €
Belarus,,1.13 €
Colombia,,1.12 €
Kazakhstan,,1.10 €
Uzbekistan,,1.07 €
Kyrgyzstan,,1.07 €
Mozambique,,1.01 €
Cameroon,,0.99 €
Ethiopia,,0.93 €
Ivory Coast,,0.91 €
Ukraine,,0.91 €
Vietnam,,0.90 €
China,,0.89 €
Tajikistan,,0.89 €
Nigeria,,0.81 €
Iran,,0.63 €
Libya,,0.57 €
